PDF,RelativePath,Status,TotalPages,PagesCreated,PagesSkipped,PagesFailed,DPI,JPEGQuality,Seconds,Error
3ZQ662XN__Juxtapoz - 2014 - Opening Art Truancy Celebrating 20 Years of Juxtapoz Magazine @ Jonathan LeVine Gallery—The People.pdf,3ZQ662XN__Juxtapoz - 2014 - Opening Art Truancy Celebrating 20 Years of Juxtapoz Magazine @ Jonathan LeVine Gallery—The People.pdf,Completed,3,3,0,0,200,90,0.75,
45W6QK37___.pdf,45W6QK37___.pdf,Completed,2,2,0,0,200,90,0.65,
"47SMDAJ5__Casavecchia, Barbara - 2009 - Art Is Subversive - L’arte è sovversiva.pdf","47SMDAJ5__Casavecchia, Barbara - 2009 - Art Is Subversive - L’arte è sovversiva.pdf",Completed,3,3,0,0,200,90,1.38,
49Z6I932__Off - 2012 - Off the shelf.pdf,49Z6I932__Off - 2012 - Off the shelf.pdf,Completed,2,2,0,0,200,90,0.45,
4AEQGNQ9__Mural - 2018 - Interview with Ron English(2).pdf,4AEQGNQ9__Mural - 2018 - Interview with Ron English(2).pdf,Completed,5,5,0,0,200,90,1.21,
4AYVYZJN__Westall - 2014 - ART PICS Ron English ‘Death and the Eternal Forever’ Art Book Launch(2).pdf,4AYVYZJN__Westall - 2014 - ART PICS Ron English ‘Death and the Eternal Forever’ Art Book Launch(2).pdf,Completed,10,10,0,0,200,90,2.62,
4B3TYXWF__The Georgetowner - .pdf,4B3TYXWF__The Georgetowner - .pdf,Completed,1,1,0,0,200,90,0.52,
4B57CBWK__Lee - 2016 - Ron English Interview - Holding One's Breath Is Not an Effective Protest Against Air Pollution.pdf,4B57CBWK__Lee - 2016 - Ron English Interview - Holding One's Breath Is Not an Effective Protest Against Air Pollution.pdf,Completed,6,6,0,0,200,90,1.26,
4BCBY5Y7__Artlyst - 2015 - Ron English x artrepublic at Boxpark.pdf,4BCBY5Y7__Artlyst - 2015 - Ron English x artrepublic at Boxpark.pdf,Completed,1,1,0,0,200,90,0.23,
4BEEGNHD__Nylon Magazine - 2009 - Running with scissors.pdf,4BEEGNHD__Nylon Magazine - 2009 - Running with scissors.pdf,Completed,1,1,0,0,200,90,0.16,
4BP63Z58__Chang - 2020 - Ron English remembering John Hechinger Sr.pdf,4BP63Z58__Chang - 2020 - Ron English remembering John Hechinger Sr.pdf,Completed,9,9,0,0,200,90,1.86,
4C5V8DYZ__Corey Helford Gallery - 2011 - Combrat Carnival By Ron English.pdf,4C5V8DYZ__Corey Helford Gallery - 2011 - Combrat Carnival By Ron English.pdf,Completed,1,1,0,0,200,90,0.28,
